rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,condition,pointvals_firsthalf,subjID,gender,age,dob,dot,language,turkID,animation_sequence,responses,key_press,earnedThis,earnedCumulative,posttest
null,sound/3star.wav,,audio-keyboard-response,29,839576,0.0-6.0-1.11,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,3,36,
1695,,0,html-button-response,30,841281,0.0-6.0-0.12,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/2star.wav,,audio-keyboard-response,31,842786,0.0-6.0-1.12,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,2,38,
1173,,3,html-button-response,32,843968,0.0-6.0-0.13,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/1star.wav,,audio-keyboard-response,33,845473,0.0-6.0-1.13,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,1,39,
1239,,1,html-button-response,34,846720,0.0-6.0-0.14,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/3star.wav,,audio-keyboard-response,35,848230,0.0-6.0-1.14,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,3,42,
1201,,2,html-button-response,36,849442,0.0-6.0-0.15,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/6star.wav,,audio-keyboard-response,37,850945,0.0-6.0-1.15,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,6,48,
3289,,0,html-button-response,38,854237,0.0-6.0-0.16,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/2star.wav,,audio-keyboard-response,39,855741,0.0-6.0-1.16,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,2,50,
2357,,3,html-button-response,40,858109,0.0-6.0-0.17,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/1star.wav,,audio-keyboard-response,41,859614,0.0-6.0-1.17,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,1,51,
1348,,1,html-button-response,42,860969,0.0-6.0-0.18,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/3star.wav,,audio-keyboard-response,43,862475,0.0-6.0-1.18,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,3,54,
1236,,2,html-button-response,44,863728,0.0-6.0-0.19,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/6star.wav,,audio-keyboard-response,45,865233,0.0-6.0-1.19,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,6,60,
1296,,0,html-button-response,46,866536,0.0-6.0-0.20,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/2star.wav,,audio-keyboard-response,47,868044,0.0-6.0-1.20,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,2,62,
1580,,1,html-button-response,48,869633,0.0-6.0-0.21,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/3star.wav,,audio-keyboard-response,49,871150,0.0-6.0-1.21,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,3,65,
915,,0,html-button-response,50,872069,0.0-6.0-0.22,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/2star.wav,,audio-keyboard-response,51,873575,0.0-6.0-1.22,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,2,67,
1151,,3,html-button-response,52,874734,0.0-6.0-0.23,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/1star.wav,,audio-keyboard-response,53,876239,0.0-6.0-1.23,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,1,68,
828,,2,html-button-response,54,877075,0.0-6.0-0.24,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/6star.wav,,audio-keyboard-response,55,878583,0.0-6.0-1.24,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,6,74,
2228,,0,html-button-response,56,880821,0.0-6.0-0.25,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/2star.wav,,audio-keyboard-response,57,882327,0.0-6.0-1.25,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,2,76,
1548,,1,html-button-response,58,883885,0.0-6.0-0.26,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/3star.wav,,audio-keyboard-response,59,885389,0.0-6.0-1.26,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,3,79,
1406,,3,html-button-response,60,886803,0.0-6.0-0.27,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/1star.wav,,audio-keyboard-response,61,888306,0.0-6.0-1.27,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,1,80,
1095,,2,html-button-response,62,889411,0.0-6.0-0.28,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/6star.wav,,audio-keyboard-response,63,890915,0.0-6.0-1.28,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,6,86,
1744,,0,html-button-response,64,892666,0.0-6.0-0.29,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/2star.wav,,audio-keyboard-response,65,894174,0.0-6.0-1.29,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,2,88,
970,,2,html-button-response,66,895167,0.0-6.0-0.30,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/6star.wav,,audio-keyboard-response,67,896672,0.0-6.0-1.30,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,6,94,
4199,,2,html-button-response,68,900882,0.0-6.0-0.31,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/6star.wav,,audio-keyboard-response,69,902387,0.0-6.0-1.31,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,6,100,
1785,,3,html-button-response,70,904176,0.0-6.0-0.32,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/1star.wav,,audio-keyboard-response,71,905679,0.0-6.0-1.32,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,1,101,
755,,0,html-button-response,72,906441,0.0-6.0-0.33,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/2star.wav,,audio-keyboard-response,73,907948,0.0-6.0-1.33,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,2,103,
1218,,1,html-button-response,74,909177,0.0-6.0-0.34,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/3star.wav,,audio-keyboard-response,75,910681,0.0-6.0-1.34,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,3,106,
2078,,2,html-button-response,76,912769,0.0-6.0-0.35,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/6star.wav,,audio-keyboard-response,77,914274,0.0-6.0-1.35,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,6,112,
4939,,3,html-button-response,78,919219,0.0-6.0-0.36,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/1star.wav,,audio-keyboard-response,79,920722,0.0-6.0-1.36,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,1,113,
1345,,1,html-button-response,80,922077,0.0-6.0-0.37,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/3star.wav,,audio-keyboard-response,81,923584,0.0-6.0-1.37,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,3,116,
1404,,0,html-button-response,82,924997,0.0-6.0-0.38,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/2star.wav,,audio-keyboard-response,83,926502,0.0-6.0-1.38,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,2,118,
1186,,3,html-button-response,84,927696,0.0-6.0-0.39,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/1star.wav,,audio-keyboard-response,85,929198,0.0-6.0-1.39,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,1,119,
4033,,0,html-button-response,86,933253,0.0-7.0-0.0,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/2star.wav,,audio-keyboard-response,87,934759,0.0-7.0-1.0,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,2,121,
891,,2,html-button-response,88,935656,0.0-7.0-0.1,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/6star.wav,,audio-keyboard-response,89,937163,0.0-7.0-1.1,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,6,127,
1394,,1,html-button-response,90,938567,0.0-7.0-0.2,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/3star.wav,,audio-keyboard-response,91,940072,0.0-7.0-1.2,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,3,130,
1292,,3,html-button-response,92,941369,0.0-7.0-0.3,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/8star.wav,,audio-keyboard-response,93,942881,0.0-7.0-1.3,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,8,138,
1566,,2,html-button-response,94,944456,0.0-7.0-0.4,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/6star.wav,,audio-keyboard-response,95,945967,0.0-7.0-1.4,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,6,144,
986,,0,html-button-response,96,946962,0.0-7.0-0.5,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/2star.wav,,audio-keyboard-response,97,948464,0.0-7.0-1.5,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,2,146,
957,,1,html-button-response,98,949430,0.0-7.0-0.6,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/3star.wav,,audio-keyboard-response,99,950934,0.0-7.0-1.6,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,3,149,
1375,,3,html-button-response,100,952316,0.0-7.0-0.7,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/8star.wav,,audio-keyboard-response,101,953820,0.0-7.0-1.7,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,8,157,
2184,,2,html-button-response,102,956011,0.0-7.0-0.8,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/6star.wav,,audio-keyboard-response,103,957515,0.0-7.0-1.8,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,6,163,
2425,,0,html-button-response,104,959963,0.0-7.0-0.9,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/2star.wav,,audio-keyboard-response,105,961475,0.0-7.0-1.9,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,2,165,
1991,,1,html-button-response,106,963475,0.0-7.0-0.10,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/3star.wav,,audio-keyboard-response,107,964994,0.0-7.0-1.10,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,3,168,
1780,,3,html-button-response,108,966786,0.0-7.0-0.11,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/8star.wav,,audio-keyboard-response,109,968289,0.0-7.0-1.11,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,8,176,
1174,,2,html-button-response,110,969473,0.0-7.0-0.12,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/6star.wav,,audio-keyboard-response,111,970978,0.0-7.0-1.12,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,6,182,
1497,,1,html-button-response,112,972485,0.0-7.0-0.13,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/3star.wav,,audio-keyboard-response,113,973990,0.0-7.0-1.13,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,3,185,
1231,,0,html-button-response,114,975227,0.0-7.0-0.14,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/2star.wav,,audio-keyboard-response,115,976732,0.0-7.0-1.14,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,2,187,
1866,,3,html-button-response,116,978608,0.0-7.0-0.15,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/8star.wav,,audio-keyboard-response,117,980113,0.0-7.0-1.15,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,8,195,
1276,,2,html-button-response,118,981396,0.0-7.0-0.16,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/6star.wav,,audio-keyboard-response,119,982902,0.0-7.0-1.16,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,6,201,
1419,,3,html-button-response,120,984328,0.0-7.0-0.17,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/8star.wav,,audio-keyboard-response,121,985831,0.0-7.0-1.17,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,8,209,
2314,,0,html-button-response,122,988154,0.0-7.0-0.18,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/2star.wav,,audio-keyboard-response,123,989665,0.0-7.0-1.18,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,2,211,
1340,,1,html-button-response,124,991012,0.0-7.0-0.19,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/3star.wav,,audio-keyboard-response,125,992518,0.0-7.0-1.19,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,3,214,
1113,,2,html-button-response,126,993640,0.0-7.0-0.20,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/6star.wav,,audio-keyboard-response,127,995158,0.0-7.0-1.20,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,6,220,
1516,,3,html-button-response,128,996683,0.0-7.0-0.21,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/8star.wav,,audio-keyboard-response,129,998189,0.0-7.0-1.21,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,8,228,
1299,,0,html-button-response,130,999499,0.0-7.0-0.22,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/2star.wav,,audio-keyboard-response,131,1001004,0.0-7.0-1.22,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,2,230,
1260,,3,html-button-response,132,1002273,0.0-7.0-0.23,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/8star.wav,,audio-keyboard-response,133,1003777,0.0-7.0-1.23,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,8,238,
1262,,2,html-button-response,134,1005043,0.0-7.0-0.24,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/6star.wav,,audio-keyboard-response,135,1006558,0.0-7.0-1.24,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,6,244,
1228,,1,html-button-response,136,1007808,0.0-7.0-0.25,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/3star.wav,,audio-keyboard-response,137,1009312,0.0-7.0-1.25,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,3,247,
1590,,3,html-button-response,138,1010911,0.0-7.0-0.26,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/8star.wav,,audio-keyboard-response,139,1012416,0.0-7.0-1.26,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,8,255,
1089,,2,html-button-response,140,1013511,0.0-7.0-0.27,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/6star.wav,,audio-keyboard-response,141,1015018,0.0-7.0-1.27,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,6,261,
929,,0,html-button-response,142,1015956,0.0-7.0-0.28,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/2star.wav,,audio-keyboard-response,143,1017462,0.0-7.0-1.28,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,2,263,
855,,1,html-button-response,144,1018324,0.0-7.0-0.29,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/3star.wav,,audio-keyboard-response,145,1019827,0.0-7.0-1.29,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,3,266,
1224,,3,html-button-response,146,1021059,0.0-7.0-0.30,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/8star.wav,,audio-keyboard-response,147,1022562,0.0-7.0-1.30,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,8,274,
3142,,2,html-button-response,148,1025709,0.0-7.0-0.31,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/6star.wav,,audio-keyboard-response,149,1027212,0.0-7.0-1.31,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,6,280,
2213,,1,html-button-response,150,1029429,0.0-7.0-0.32,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/3star.wav,,audio-keyboard-response,151,1030935,0.0-7.0-1.32,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,3,283,
925,,3,html-button-response,152,1031872,0.0-7.0-0.33,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/8star.wav,,audio-keyboard-response,153,1033377,0.0-7.0-1.33,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,8,291,
1544,,2,html-button-response,154,1034927,0.0-7.0-0.34,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/6star.wav,,audio-keyboard-response,155,1036433,0.0-7.0-1.34,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,6,297,
1421,,1,html-button-response,156,1037862,0.0-7.0-0.35,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/3star.wav,,audio-keyboard-response,157,1039370,0.0-7.0-1.35,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,3,300,
1048,,0,html-button-response,158,1040426,0.0-7.0-0.36,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/2star.wav,,audio-keyboard-response,159,1041928,0.0-7.0-1.36,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,2,302,
886,,2,html-button-response,160,1042820,0.0-7.0-0.37,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/6star.wav,,audio-keyboard-response,161,1044327,0.0-7.0-1.37,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,6,308,
1332,,3,html-button-response,162,1045664,0.0-7.0-0.38,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/8star.wav,,audio-keyboard-response,163,1047183,0.0-7.0-1.38,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,8,316,
1602,,0,html-button-response,164,1048813,0.0-7.0-0.39,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/2star.wav,,audio-keyboard-response,165,1050318,0.0-7.0-1.39,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,2,318,
9797,sound/celebration.wav,0,audio-button-response,166,1060120,0.0-8.0,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
10975,"Which, if any, of these monsters ever gave you <b>1 star</b>?</p>",3,html-button-response,167,1071103,0.0-9.0-0.0,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,correct
6447,"Which, if any, of these monsters ever gave you <b>2 stars</b>?</p>",0,html-button-response,168,1078357,0.0-10.0-0.0,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,correct
4573,"Which, if any, of these monsters ever gave you <b>3 stars</b>?</p>",1,html-button-response,169,1083739,0.0-11.0-0.0,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,correct
3865,"Which, if any, of these monsters ever gave you <b>6 stars</b>?</p>",2,html-button-response,170,1088613,0.0-12.0-0.0,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,correct
3852,"Which, if any, of these monsters ever gave you <b>8 stars</b>?</p>",3,html-button-response,171,1093272,0.0-13.0-0.0,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,correct
