"subjID","age","dob","gender","language","country","condition","trial_type","trial_index","stimulus","pointvals_firsthalf","button_pressed","earnedThis","earnedCumulative","posttest","responses","rt","time_elapsed"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","33",,"1,3,2,6","3",,,,,"255","86888"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","34","sound/6star.wav","1,3,2,6",,"6","60",,,"null","88393"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","35",,"1,3,2,6","3",,,,,"725","89120"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","36","sound/6star.wav","1,3,2,6",,"6","66",,,"null","90626"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","37",,"1,3,2,6","3",,,,,"517","91144"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","38","sound/6star.wav","1,3,2,6",,"6","72",,,"null","92647"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","39",,"1,3,2,6","3",,,,,"674","93323"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","40","sound/6star.wav","1,3,2,6",,"6","78",,,"null","94830"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","41",,"1,3,2,6","3",,,,,"498","95331"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","42","sound/6star.wav","1,3,2,6",,"6","84",,,"null","96836"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","43",,"1,3,2,6","3",,,,,"385","97223"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","44","sound/6star.wav","1,3,2,6",,"6","90",,,"null","98727"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","45",,"1,3,2,6","3",,,,,"177","98906"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","46","sound/6star.wav","1,3,2,6",,"6","96",,,"null","100413"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","47",,"1,3,2,6","3",,,,,"443","100860"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","48","sound/6star.wav","1,3,2,6",,"6","102",,,"null","102363"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","49",,"1,3,2,6","3",,,,,"635","103001"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","50","sound/6star.wav","1,3,2,6",,"6","108",,,"null","104505"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","51",,"1,3,2,6","3",,,,,"485","104993"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","52","sound/6star.wav","1,3,2,6",,"6","114",,,"null","106497"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","53",,"1,3,2,6","3",,,,,"152","106652"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","54","sound/6star.wav","1,3,2,6",,"6","120",,,"null","108157"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","55",,"1,3,2,6","3",,,,,"356","108515"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","56","sound/6star.wav","1,3,2,6",,"6","126",,,"null","110019"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","57",,"1,3,2,6","3",,,,,"231","110253"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","58","sound/6star.wav","1,3,2,6",,"6","132",,,"null","111757"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","59",,"1,3,2,6","3",,,,,"345","112104"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","60","sound/6star.wav","1,3,2,6",,"6","138",,,"null","113609"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","61",,"1,3,2,6","3",,,,,"185","113796"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","62","sound/6star.wav","1,3,2,6",,"6","144",,,"null","115300"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","63",,"1,3,2,6","3",,,,,"386","115689"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","64","sound/6star.wav","1,3,2,6",,"6","150",,,"null","117190"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","65",,"1,3,2,6","3",,,,,"458","117650"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","66","sound/6star.wav","1,3,2,6",,"6","156",,,"null","119154"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","67",,"1,3,2,6","3",,,,,"378","119534"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","68","sound/6star.wav","1,3,2,6",,"6","162",,,"null","121039"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","69",,"1,3,2,6","3",,,,,"270","121310"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","70","sound/6star.wav","1,3,2,6",,"6","168",,,"null","122814"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","71",,"1,3,2,6","3",,,,,"219","123035"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","72","sound/6star.wav","1,3,2,6",,"6","174",,,"null","124538"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","73",,"1,3,2,6","3",,,,,"263","124802"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","74","sound/6star.wav","1,3,2,6",,"6","180",,,"null","126306"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","75",,"1,3,2,6","3",,,,,"233","126540"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","76","sound/6star.wav","1,3,2,6",,"6","186",,,"null","128043"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","77",,"1,3,2,6","3",,,,,"612","128657"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","78","sound/6star.wav","1,3,2,6",,"6","192",,,"null","130165"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","79",,"1,3,2,6","3",,,,,"936","131104"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","80","sound/6star.wav","1,3,2,6",,"6","198",,,"null","132606"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","81",,"1,3,2,6","3",,,,,"875","133483"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","82","sound/6star.wav","1,3,2,6",,"6","204",,,"null","134988"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","83",,"1,3,2,6","3",,,,,"685","135677"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","84","sound/6star.wav","1,3,2,6",,"6","210",,,"null","137182"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","85",,"1,3,2,6","3",,,,,"870","138054"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","86","sound/6star.wav","1,3,2,6",,"6","216",,,"null","139558"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","87",,"1,3,2,6","3",,,,,"295","139855"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","88","sound/6star.wav","1,3,2,6",,"6","222",,,"null","141359"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","89",,"1,3,2,6","3",,,,,"641","142002"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","90","sound/6star.wav","1,3,2,6",,"6","228",,,"null","143505"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","91",,"1,3,2,6","3",,,,,"565","144072"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","92","sound/6star.wav","1,3,2,6",,"6","234",,,"null","145577"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","93",,"1,3,2,6","3",,,,,"523","146102"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","94","sound/6star.wav","1,3,2,6",,"6","240",,,"null","147604"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","95",,"1,3,2,6","3",,,,,"459","148064"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","96","sound/6star.wav","1,3,2,6",,"6","246",,,"null","149569"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","97",,"1,3,2,6","3",,,,,"673","150243"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","98","sound/6star.wav","1,3,2,6",,"6","252",,,"null","151747"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","99",,"1,3,2,6","3",,,,,"531","152280"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","100","sound/6star.wav","1,3,2,6",,"6","258",,,"null","153786"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","101",,"1,3,2,6","3",,,,,"611","154398"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","102","sound/6star.wav","1,3,2,6",,"6","264",,,"null","155906"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","103",,"1,3,2,6","3",,,,,"304","156212"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","104","sound/6star.wav","1,3,2,6",,"6","270",,,"null","157716"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","105",,"1,3,2,6","3",,,,,"457","158174"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","106","sound/6star.wav","1,3,2,6",,"6","276",,,"null","159678"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","107",,"1,3,2,6","3",,,,,"424","160104"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","108","sound/6star.wav","1,3,2,6",,"6","282",,,"null","161608"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","109",,"1,3,2,6","3",,,,,"471","162082"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","110","sound/6star.wav","1,3,2,6",,"6","288",,,"null","163588"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","111",,"1,3,2,6","3",,,,,"243","163834"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","112","sound/6star.wav","1,3,2,6",,"6","294",,,"null","165339"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","113",,"1,3,2,6","3",,,,,"791","166136"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","114","sound/6star.wav","1,3,2,6",,"6","300",,,"null","167639"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","115",,"1,3,2,6","3",,,,,"765","168406"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","116","sound/6star.wav","1,3,2,6",,"6","306",,,"null","169913"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","117",,"1,3,2,6","3",,,,,"867","170784"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","118","sound/6star.wav","1,3,2,6",,"6","312",,,"null","172287"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","119",,"1,3,2,6","3",,,,,"273","172562"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","120","sound/6star.wav","1,3,2,6",,"6","318",,,"null","174067"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","121",,"1,3,2,6","3",,,,,"452","174523"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","122","sound/6star.wav","1,3,2,6",,"6","324",,,"null","176027"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","123",,"1,3,2,6","3",,,,,"618","176646"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","124","sound/6star.wav","1,3,2,6",,"6","330",,,"null","178152"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","125",,"1,3,2,6","3",,,,,"1404","179558"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","126","sound/6star.wav","1,3,2,6",,"6","336",,,"null","181063"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","127",,"1,3,2,6","3",,,,,"627","181691"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","128","sound/6star.wav","1,3,2,6",,"6","342",,,"null","183195"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","129",,"1,3,2,6","3",,,,,"618","183814"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","130","sound/6star.wav","1,3,2,6",,"6","348",,,"null","185317"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","131",,"1,3,2,6","3",,,,,"726","186046"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","132","sound/6star.wav","1,3,2,6",,"6","354",,,"null","187550"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","133",,"1,3,2,6","3",,,,,"619","188170"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","134","sound/6star.wav","1,3,2,6",,"6","360",,,"null","189675"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","135",,"1,3,2,6","3",,,,,"423","190102"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","136","sound/6star.wav","1,3,2,6",,"6","366",,,"null","191607"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","137",,"1,3,2,6","3",,,,,"406","192014"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","138","sound/6star.wav","1,3,2,6",,"6","372",,,"null","193518"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","139",,"1,3,2,6","3",,,,,"821","194341"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","140","sound/6star.wav","1,3,2,6",,"6","378",,,"null","195845"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","141",,"1,3,2,6","3",,,,,"926","196773"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","142","sound/6star.wav","1,3,2,6",,"6","384",,,"null","198274"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","143",,"1,3,2,6","3",,,,,"882","199159"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","144","sound/6star.wav","1,3,2,6",,"6","390",,,"null","200663"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","145",,"1,3,2,6","3",,,,,"662","201327"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","146","sound/6star.wav","1,3,2,6",,"6","396",,,"null","202830"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","147",,"1,3,2,6","3",,,,,"536","203368"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","148","sound/6star.wav","1,3,2,6",,"6","402",,,"null","204873"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","149",,"1,3,2,6","3",,,,,"471","205346"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","150","sound/6star.wav","1,3,2,6",,"6","408",,,"null","206850"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","151",,"1,3,2,6","3",,,,,"360","207213"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","152","sound/6star.wav","1,3,2,6",,"6","414",,,"null","208717"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","153",,"1,3,2,6","3",,,,,"365","209084"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","154","sound/6star.wav","1,3,2,6",,"6","420",,,"null","210588"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","155",,"1,3,2,6","3",,,,,"565","211153"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","156","sound/6star.wav","1,3,2,6",,"6","426",,,"null","212657"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","157",,"1,3,2,6","3",,,,,"278","212938"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","158","sound/6star.wav","1,3,2,6",,"6","432",,,"null","214444"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","159",,"1,3,2,6","3",,,,,"329","214775"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","160","sound/6star.wav","1,3,2,6",,"6","438",,,"null","216278"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","161",,"1,3,2,6","3",,,,,"466","216745"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","162","sound/6star.wav","1,3,2,6",,"6","444",,,"null","218247"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","163",,"1,3,2,6","3",,,,,"318","218568"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","164","sound/6star.wav","1,3,2,6",,"6","450",,,"null","220071"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","165",,"1,3,2,6","3",,,,,"247","220323"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","166","sound/6star.wav","1,3,2,6",,"6","456",,,"null","221828"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-button-response","167","sound/celebration.wav","1,3,2,6","0",,,,,"3448","225280"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","168","Which, if any, of these monsters ever gave you <b>1 star</b>?</p>","1,3,2,6","0",,,"correct",,"5914","231196"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","169","Which, if any, of these monsters ever gave you <b>2 stars</b>?</p>","1,3,2,6","2",,,"correct",,"657","232656"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","170","Which, if any, of these monsters ever gave you <b>3 stars</b>?</p>","1,3,2,6","1",,,"correct",,"493","233953"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","171","Which, if any, of these monsters ever gave you <b>6 stars</b>?</p>","1,3,2,6","3",,,"correct",,"472","235428"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","172","Which, if any, of these monsters ever gave you <b>8 stars</b>?</p>","1,3,2,6","4",,,"incorrect",,"1899","238130"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","173","Which monster did you like the most?</p>","1,3,2,6","3",,,,,"1283","240216"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","survey-text","174",,"1,3,2,6",,,,,"\{""Q0"":""it gave me the most stars""\}","6973","247992"
"C145658","36","11/3/82","m","English","United States of America","static","html-button-response","0","<p>Hi! Welcome to the experiment. This study takes the form of a simple decision making task.<br> It is designed to help us learn how children make decisions, so it will look like a kid's game.<br> However, in order to understand how kids make choices, we need to compare what they do to adults<br> doing the same task. That's you! Because of this, we ask you to take the task seriously and do your<br>best, even if the task seems like a strange thing for an adult to do.</p>","6,3,1,2","0",,,,,"11773","11776"
"C145658","36","11/3/82","m","English","United States of America","static","animation","1",,"6,3,1,2",,,,,"[]",,"23777"
"C145658","36","11/3/82","m","English","United States of America","static","html-button-response","2","<img src='img/screen1d.png'></img>","6,3,1,2","0",,,,,"2885","26664"
"C145658","36","11/3/82","m","English","United States of America","static","animation","3",,"6,3,1,2",,,,,"[]",,"47465"
"C145658","36","11/3/82","m","English","United States of America","static","html-button-response","4","<img src='img/screen5e.jpg'></img>","6,3,1,2","0",,,,,"1536","49001"
"C145658","36","11/3/82","m","English","United States of America","static","survey-multi-choice","5",,"6,3,1,2",,,,,"\{""Q0"":"" You click on the monsters"",""Q1"":"" Because the main study will have children participating""\}","9449","58461"
"C145658","36","11/3/82","m","English","United States of America","static","html-button-response","6","Well done!","6,3,1,2","0",,,,,"1492","59954"
"C145658","36","11/3/82","m","English","United States of America","static","html-button-response","7",,"6,3,1,2","0",,,,,"11838","71794"
"C145658","36","11/3/82","m","English","United States of America","static","audio-keyboard-response","8","sound/6star.wav","6,3,1,2",,"6","6",,,"null","73298"
"C145658","36","11/3/82","m","English","United States of America","static","html-button-response","9",,"6,3,1,2","1",,,,,"10089","83388"
"C145658","36","11/3/82","m","English","United States of America","static","audio-keyboard-response","10","sound/3star.wav","6,3,1,2",,"3","9",,,"null","84889"
"C145658","36","11/3/82","m","English","United States of America","static","html-button-response","11",,"6,3,1,2","2",,,,,"11792","96682"
"C145658","36","11/3/82","m","English","United States of America","static","audio-keyboard-response","12","sound/1star.wav","6,3,1,2",,"1","10",,,"null","98183"
"C145658","36","11/3/82","m","English","United States of America","static","html-button-response","13",,"6,3,1,2","3",,,,,"12865","111050"
"C145658","36","11/3/82","m","English","United States of America","static","audio-keyboard-response","14","sound/2star.wav","6,3,1,2",,"2","12",,,"null","112550"
"C145658","36","11/3/82","m","English","United States of America","static","html-button-response","15",,"6,3,1,2","0",,,,,"24131","136683"
"C145658","36","11/3/82","m","English","United States of America","static","audio-keyboard-response","16","sound/6star.wav","6,3,1,2",,"6","18",,,"null","138184"
"C145658","36","11/3/82","m","English","United States of America","static","html-button-response","17",,"6,3,1,2","0",,,,,"1902","140087"
"C145658","36","11/3/82","m","English","United States of America","static","audio-keyboard-response","18","sound/6star.wav","6,3,1,2",,"6","24",,,"null","141587"
"C145658","36","11/3/82","m","English","United States of America","static","html-button-response","19",,"6,3,1,2","0",,,,,"491","142079"
"C145658","36","11/3/82","m","English","United States of America","static","audio-keyboard-response","20","sound/6star.wav","6,3,1,2",,"6","30",,,"null","143581"
"C145658","36","11/3/82","m","English","United States of America","static","html-button-response","21",,"6,3,1,2","0",,,,,"470","144053"
"C145658","36","11/3/82","m","English","United States of America","static","audio-keyboard-response","22","sound/6star.wav","6,3,1,2",,"6","36",,,"null","145554"
"C145658","36","11/3/82","m","English","United States of America","static","html-button-response","23",,"6,3,1,2","0",,,,,"380","145936"
"C145658","36","11/3/82","m","English","United States of America","static","audio-keyboard-response","24","sound/6star.wav","6,3,1,2",,"6","42",,,"null","147452"
"C145658","36","11/3/82","m","English","United States of America","static","html-button-response","25",,"6,3,1,2","0",,,,,"441","147895"
"C145658","36","11/3/82","m","English","United States of America","static","audio-keyboard-response","26","sound/6star.wav","6,3,1,2",,"6","48",,,"null","149397"
"C145658","36","11/3/82","m","English","United States of America","static","html-button-response","27",,"6,3,1,2","0",,,,,"431","149830"
"C145658","36","11/3/82","m","English","United States of America","static","audio-keyboard-response","28","sound/6star.wav","6,3,1,2",,"6","54",,,"null","151330"
"C145658","36","11/3/82","m","English","United States of America","static","html-button-response","29",,"6,3,1,2","0",,,,,"387","151719"
